mois,moy_vivants,moy_naiss_mois,moy_morts_mois,moy_morts_juv_mois,moy_morts_enf_mois,moy_morts_adult_mois,med_vivants,std_vivants
126,96067.71875,51702.34375,44441.1875,41369.6875,2123.75,947.75,97142.5,39741.63068829271
127,103964.4375,56054.84375,48158.125,44841.28125,2308.875,1007.96875,105136.5,43049.10702829495
128,112506.8125,60648.78125,52106.40625,48526.875,2478.46875,1101.0625,113944.0,46591.17070019644
129,121756.65625,65551.875,56302.03125,52418.96875,2702.3125,1180.75,123215.5,50429.21657048705
130,131771.375,71032.71875,61018.0,56852.4375,2890.53125,1275.03125,133504.5,54564.69288534368
131,142552.21875,76808.15625,66027.3125,61470.78125,3154.6875,1401.84375,144352.5,59054.34641906892
132,154267.15625,83136.71875,71421.78125,66522.03125,3403.75,1496.0,156235.0,63906.00928615271
133,166971.15625,89983.1875,77279.1875,71961.8125,3688.65625,1628.71875,169036.5,69220.79550120278
134,180665.3125,97409.65625,83715.5,77949.75,3995.40625,1770.34375,182942.0,74860.44266393196
135,195528.53125,105298.875,90435.65625,84204.46875,4328.6875,1902.5,197958.5,81042.31945833316
136,211561.84375,114017.625,97984.3125,91218.8125,4690.5625,2074.9375,214301.0,87621.06847460738
137,228907.84375,123343.25,105997.25,98681.5625,5073.25,2242.4375,231745.0,94806.95571630985
138,247697.5625,133411.125,114621.40625,106695.46875,5510.34375,2415.59375,250940.0,102573.32419753975
139,268077.6875,144394.03125,124013.90625,115477.25,5927.40625,2609.25,271260.0,111013.15009477412
140,290118.53125,156116.25,134075.40625,124868.4375,6399.53125,2807.4375,293693.0,120087.09051038342
141,313903.53125,169075.65625,145290.65625,135289.59375,6941.90625,3059.15625,317677.0,130026.00643789118
142,339662.78125,182928.5,157169.25,146359.6875,7497.03125,3312.53125,343835.0,140631.7937709443
143,367607.0,198028.6875,170084.46875,158364.25,8121.21875,3599.0,371854.0,152190.8362796525
144,397808.09375,214290.03125,184088.9375,171437.96875,8767.96875,3883.0,402891.5,164644.73698245708
145,430510.75,231936.6875,199234.03125,185561.03125,9484.03125,4188.96875,435905.5,178281.87323712272
146,465797.125,250979.90625,215693.53125,200842.0625,10310.3125,4541.15625,472122.5,192871.10133320745
147,504052.6875,271742.46875,233486.90625,217402.40625,11145.8125,4938.6875,510895.5,208714.45899608237
148,545426.375,293779.46875,252405.78125,235023.6875,12063.96875,5318.125,553052.0,225772.134231584
149,590294.4375,318095.46875,273227.40625,254411.8125,13043.03125,5772.5625,598291.5,244384.108568348
150,638787.4375,343999.875,295506.875,275154.3125,14135.21875,6217.34375,647781.0,264442.1182569942
151,691221.5625,372378.0,319943.875,297916.125,15288.65625,6739.09375,700685.0,286252.95678810653
152,747997.71875,402732.53125,345956.375,322155.09375,16551.875,7249.40625,758254.0,309828.94404808624
153,809467.4375,436028.1875,374558.46875,348778.875,17883.28125,7896.3125,820574.0,335271.1999932794
154,875854.96875,471674.25,405286.71875,377373.0625,19374.375,8539.28125,887519.5,362830.5318240429
155,947846.1875,510891.84375,438900.625,408717.5,20965.65625,9217.46875,960423.0,392715.8280545741
156,1025631.21875,552265.0,474479.96875,441786.65625,22702.375,9990.9375,1039506.5,424897.6257149872
157,1109993.03125,598377.75,514015.9375,478636.34375,24526.1875,10853.40625,1125296.5,459808.54501258756
158,1201029.125,646826.96875,555790.875,517457.03125,26623.15625,11710.6875,1217969.5,497619.8601651635
159,1299719.71875,700463.6875,601773.09375,560395.59375,28726.15625,12651.34375,1318260.5,538564.6567497278
160,1406478.46875,757628.96875,650870.21875,606028.84375,31145.25,13696.125,1426553.0,582892.5902287329
